JumlahPendapatan,Income_Per_Capita,Income_Diversity,Dual_Income_Household,Has_Other_Income,Has_Working_Children,Umur,Total_Household_Members,Dependency_Ratio,Year_Index,Poverty_Escape_Status_Based,Poverty_Escape_Income_Based,Poverty_Escape_Combined,Jantina_L,Jantina_P,Jantina_nan,DAERAH_BB,DAERAH_BL,DAERAH_KL,DAERAH_KM,DAERAH_KP,DAERAH_KS,DAERAH_LW,DAERAH_PD,DAERAH_PS,DAERAH_PT,DAERAH_SK,DAERAH_YN,DAERAH_nan,Age_Category_Young,Age_Category_Middle_Age,Age_Category_Mature,Age_Category_Senior,Age_Category_nan,Income_Category_Extreme_Poor,Income_Category_Poor,Income_Category_Low_Income,Income_Category_Above_Threshold,Income_Category_nan,JumlahPendapatan_scaled,Income_Per_Capita_scaled,Umur_scaled,Total_Household_Members_scaled,Dependency_Ratio_scaled
850.0,212.5,0,0,0,0,42,4,3.0,2,1,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.22002648804922395,-0.3966297250621599,-1.0493678383498322,0.5473786220548151,0.702450183876701
550.0,183.33333333333334,1,0,1,0,55,3,2.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,-0.42055044576548695,-0.5532682089857219,-0.15967666458633417,0.020699860622648922,0.1445195669123063
1600.0,177.77777777777777,2,1,1,0,48,9,4.0,2,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.8214688225860012,-0.5831041106854481,-0.6387411427666793,3.1807724292156463,1.260380800841096
1000.0,200.0,0,0,0,0,46,5,4.0,2,1,0,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.5403149549565794,-0.4637605038865436,-0.7756167079610636,1.0740573834869813,1.260380800841096
1050.0,262.5,0,0,0,0,59,4,3.0,2,1,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.6470777772590313,-0.12810660976462482,0.11407446580243448,0.5473786220548151,0.702450183876701
700.0,140.0,0,0,0,0,44,5,4.0,2,1,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,-0.1002619788581315,-0.7859882422435857,-0.9124922731554479,1.0740573834869813,1.260380800841096
1100.0,275.0,0,0,0,0,42,4,3.0,2,1,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.7538405995614831,-0.06097583094024105,-1.0493678383498322,0.5473786220548151,0.702450183876701
550.0,275.0,0,0,0,0,68,2,1.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-0.42055044576548695,-0.06097583094024105,0.7300145091771639,-0.5059789008095172,-0.41341105005208845
750.0,250.0,0,0,0,0,53,3,2.0,2,1,0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0.0065008434443203245,-0.19523738858900858,-0.2965522297807185,0.020699860622648922,0.1445195669123063
1500.0,300.0,0,0,0,0,49,5,4.0,2,1,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.6079431779810975,0.07328572670852647,-0.5703033601694871,1.0740573834869813,1.260380800841096
